Ho_ten,10%,20%_1,20%_2,Thi
71_011,6.5,6.5,6.0,6.5
71_012,5.5,5.5,6.0,5.0
71_013,6.5,7.0,7.0,6.75
71_014,7.25,5.5,7.0,6.0
71_021,7.5,5.0,6.0,6.0
71_022,8.0,6.0,6.0,6.0
71_023,9.0,8.0,8.0,8.0
71_024,7.5,5.0,6.0,6.0
71_025,6.5,6.0,6.0,6.0
71_031,8.0,6.5,7.0,7.0
71_032,8.0,7.0,7.0,6.0
71_033,8.0,7.0,7.0,7.0
71_034,,,,
71_035,,,,
71_041,10.0,6.5,8.0,6.5
71_042,10.0,8.0,8.0,8.5
71_043,10.0,6.5,7.5,7.0
71_044,7.0,6.0,7.0,7.0
71_045,10.0,6.75,8.0,7.0
71_046,10.0,6.5,8.0,7.0
71_051,7.0,6.0,6.5,
71_052,7.12,6.25,7.0,6.5
71_053,7.75,6.25,7.25,6.25
71_054,7.35,6.0,7.0,6.0
71_055,7.5,5.5,6.5,6.0
71_056,7.12,5.75,6.5,6.25
71_061,10.0,6.0,6.5,6.5
71_062,10.0,6.5,6.5,6.5
71_063,7.0,5.0,6.5,6.0
71_064,10.0,6.0,6.5,6.5
71_065,10.0,6.5,6.5,6.5
71_071,9.0,6.25,7.0,7.0
71_072,8.0,6.0,6.5,6.5
71_073,9.0,7.25,7.5,7.5
71_074,8.0,6.75,6.5,6.5
71_075,8.0,6.5,6.0,6.0
71_081,8.0,6.0,5.5,5.0
71_082,7.5,6.5,6.25,5.5
71_083,8.5,5.75,6.5,5.0
71_084,8.0,6.0,6.5,5.0
71_085,7.0,6.0,6.0,5.0
71_091,7.0,7.0,6.0,5.0
71_092,7.25,6.75,6.5,5.0
71_093,7.0,6.5,6.0,5.0
71_094,5.5,5.0,5.0,5.0
71_095,6.0,6.5,6.0,5.0
71_101,9.0,7.0,6.5,6.0
71_102,9.0,7.0,6.0,6.0
71_103,7.0,6.5,6.0,6.0
71_104,9.0,7.0,6.5,6.0
71_105,9.0,7.0,6.0,6.0
71_111,8.0,6.75,7.0,7.0
71_112,8.0,6.75,8.0,7.0
71_113,8.0,6.5,7.5,7.0
71_114,8.25,5.0,8.0,7.0
71_115,7.75,6.5,7.0,7.0
71_121,9.0,7.5,7.0,7.0
71_122,8.0,6.5,6.5,6.5
71_123,8.0,7.0,7.0,7.0
71_124,8.0,7.0,7.0,7.0
71_125,8.0,7.0,7.0,7.0
71_131,7.5,7.5,8.0,8.0
71_132,8.0,7.0,8.0,8.0
71_133,8.5,8.25,8.0,8.0
71_134,8.5,7.0,6.5,6.5
71_135,8.5,7.5,7.5,7.5
71_141,7.0,7.0,7.5,7.0
71_142,7.0,7.25,7.0,7.0
71_143,7.0,3.25,7.25,7.25
71_144,7.0,7.5,8.0,7.5
71_145,7.0,7.25,7.25,7.0
71_146,7.0,6.75,7.5,6.5
71_151,7.5,7.0,8.0,9.0
71_152,7.0,6.5,6.5,6.5
71_153,7.0,7.0,7.5,7.5
71_154,7.0,7.0,7.0,
72_011,6.0,6.5,7.0,6.75
72_012,6.5,7.25,7.75,7.5
72_013,5.75,6.75,7.25,7.0
72_014,6.75,7.0,7.5,7.25
72_015,6.0,6.5,7.0,6.75
72_021,8.38,7.0,6.75,6.0
72_022,8.88,7.0,6.0,6.5
72_023,8.13,6.5,6.0,5.0
72_024,7.88,7.0,6.0,5.0
72_025,8.25,7.5,6.5,5.0
72_026,8.75,8.0,7.0,7.0
72_031,3.5,6.75,7.0,7.0
72_032,7.5,8.0,7.0,7.5
72_033,7.0,7.25,7.0,7.25
72_034,7.0,7.125,6.5,6.5
72_035,7.0,7.5,7.0,7.0
72_041,8.0,6.5,6.0,6.0
72_042,7.6,7.0,7.0,7.0
72_043,6.75,5.5,6.5,6.5
72_044,7.4,5.75,5.8,6.0
72_045,6.9,6.75,5.0,5.0
72_046,7.75,6.6,6.0,7.0
72_051,7.0,7.0,7.5,7.0
72_052,7.0,7.4,7.25,6.75
72_053,7.25,6.5,8.0,7.75
72_054,6.825,7.0,7.0,7.0
72_055,7.25,7.25,7.5,7.5
72_061,7.25,6.5,6.5,6.5
72_062,6.325,6.0,6.25,6.0
72_063,7.0,6.0,6.0,6.0
72_064,6.5,6.0,6.75,6.0
72_065,7.25,6.5,6.75,6.5
72_071,7.125,6.75,6.0,6.5
72_072,7.625,7.125,6.0,5.0
72_073,7.625,6.8,7.0,6.0
72_074,6.75,7.25,7.0,6.0
72_075,7.0,6.875,7.0,6.5
72_081,7.375,7.0,6.75,6.5
72_082,6.875,7.0,6.75,7.0
72_083,7.25,6.875,7.25,7.25
72_084,6.875,7.125,7.0,6.75
72_085,7.125,7.125,7.0,6.75
72_091,7.25,3.375,7.0,6.5
72_092,6.5,6.75,6.5,6.25
72_093,6.5,6.875,6.75,6.75
72_094,3.0,0.0,0.0,0.0
72_095,7.125,6.875,7.25,7.0
72_101,7.75,8.375,8.0,8.5
72_102,7.5,8.125,8.0,8.5
72_103,7.125,7.75,7.5,8.0
72_104,7.75,7.625,7.0,7.5
72_105,7.375,8.125,8.0,8.0
72_111,0.0,0.0,0.0,0.0
72_112,7.125,7.5,7.5,6.5
72_113,6.875,7.125,7.5,6.5
72_114,6.625,6.5,6.5,5.75
72_115,3.75,3.375,6.5,6.0
72_121,7.75,7.875,8.0,7.5
72_122,7.5,7.625,7.75,7.5
72_123,7.125,7.625,7.5,7.5
72_124,7.125,7.375,7.25,7.0
72_125,6.75,8.75,9.0,8.5
72_131,7.5,6.0,6.5,6.5
72_132,7.5,6.75,6.25,6.25
72_133,7.25,6.5,6.5,6.0
72_134,7.875,6.25,6.5,6.5
72_135,8.25,8.0,8.0,8.0
72_141,7.125,6.5,6.25,6.0
72_142,7.25,0.0,0.0,0.0
72_143,6.875,6.5,6.0,5.0
72_144,6.375,6.375,6.0,5.0
72_145,7.25,6.5,6.5,6.0
72_151,7.375,6.5,7.5,7.0
72_152,7.25,6.75,7.0,7.0
72_153,7.125,6.75,6.75,7.0
72_154,7.75,6.375,7.5,7.0
72_155,7.875,6.125,6.75,7.0
